Date,Category,Description,Amount,Type
2023-01-01,Salary,Monthly salary,2224.84,Income
2023-01-01,Entertainment,"Movies, concerts, etc.",416.39,Expense
2023-01-04,Groceries,Grocery shopping,64.54,Expense
2023-01-10,Groceries,Grocery shopping,67.18,Expense
2023-01-12,Groceries,Grocery shopping,175.59,Expense
2023-01-14,Groceries,Grocery shopping,14.2,Expense
2023-01-24,Entertainment,"Movies, concerts, etc.",332.8,Expense
2023-02-01,Salary,Monthly salary,2193.09,Income
2023-02-03,Entertainment,"Movies, concerts, etc.",54.77,Expense
2023-02-06,Groceries,Grocery shopping,101.3,Expense
2023-02-09,Groceries,Grocery shopping,72.03,Expense
2023-02-10,Entertainment,"Movies, concerts, etc.",57.72,Expense
2023-02-14,Groceries,Grocery shopping,187.88,Expense
2023-02-17,Groceries,Grocery shopping,180.02,Expense
2023-02-26,Groceries,Grocery shopping,15.82,Expense
2023-03-01,Entertainment,"Movies, concerts, etc.",436.18,Expense
2023-03-01,Salary,Monthly salary,2238.69,Income
2023-03-10,Bonus,Extra income,670.82,Income
2023-03-15,Groceries,Grocery shopping,42.25,Expense
2023-03-18,Entertainment,"Movies, concerts, etc.",373.47,Expense
2023-03-26,Groceries,Grocery shopping,190.84,Expense
2023-03-28,Utilities,"Electricity, water, internet bills",342.53,Expense
2023-04-01,Salary,Monthly salary,2173.09,Income
2023-04-07,Entertainment,"Movies, concerts, etc.",489.04,Expense
2023-04-13,Groceries,Grocery shopping,71.67,Expense
2023-04-16,Groceries,Grocery shopping,124.66,Expense
2023-04-18,Utilities,"Electricity, water, internet bills",374.19,Expense
2023-04-22,Entertainment,"Movies, concerts, etc.",330.79,Expense
2023-04-22,Groceries,Grocery shopping,47.2,Expense
2023-05-01,Salary,Monthly salary,2263.69,Income
2023-05-02,Bonus,Extra income,457.52,Income
2023-05-03,Groceries,Grocery shopping,130.3,Expense
2023-05-09,Groceries,Grocery shopping,128.53,Expense
2023-05-11,Utilities,"Electricity, water, internet bills",659.87,Expense
2023-06-01,Salary,Monthly salary,2185.4,Income
2023-06-03,Groceries,Grocery shopping,153.5,Expense
2023-06-06,Groceries,Grocery shopping,188.02,Expense
2023-06-13,Groceries,Grocery shopping,86.57,Expense
2023-06-13,Bonus,Extra income,458.47,Income
2023-06-19,Groceries,Grocery shopping,14.9,Expense
2023-06-24,Groceries,Grocery shopping,158.34,Expense
2023-07-01,Salary,Monthly salary,2212.99,Income
2023-07-04,Entertainment,"Movies, concerts, etc.",219.75,Expense
2023-07-05,Groceries,Grocery shopping,59.36,Expense
2023-07-06,Utilities,"Electricity, water, internet bills",279.14,Expense
2023-07-12,Bonus,Extra income,171.03,Income
2023-07-14,Bonus,Extra income,212.57,Income
2023-07-20,Entertainment,"Movies, concerts, etc.",60.7,Expense
2023-07-21,Entertainment,"Movies, concerts, etc.",479.12,Expense
2023-07-21,Groceries,Grocery shopping,23.54,Expense
2023-07-25,Utilities,"Electricity, water, internet bills",128.06,Expense
2023-08-01,Salary,Monthly salary,2239.09,Income
2023-08-12,Groceries,Grocery shopping,41.31,Expense
2023-08-18,Entertainment,"Movies, concerts, etc.",138.41,Expense
2023-08-18,Bonus,Extra income,749.82,Income
2023-08-23,Entertainment,"Movies, concerts, etc.",377.95,Expense
2023-08-23,Groceries,Grocery shopping,154.59,Expense
2023-08-29,Groceries,Grocery shopping,127.72,Expense
2023-08-30,Groceries,Grocery shopping,121.76,Expense
2023-08-31,Groceries,Grocery shopping,120.2,Expense
2023-09-01,Salary,Monthly salary,2211.55,Income
2023-09-03,Groceries,Grocery shopping,21.12,Expense
2023-09-12,Utilities,"Electricity, water, internet bills",72.98,Expense
2023-09-22,Groceries,Grocery shopping,63.62,Expense
2023-09-25,Groceries,Grocery shopping,102.64,Expense
2023-09-25,Entertainment,"Movies, concerts, etc.",50.07,Expense
2023-09-27,Utilities,"Electricity, water, internet bills",680.6,Expense
2023-09-29,Groceries,Grocery shopping,89.57,Expense
2023-10-01,Salary,Monthly salary,2159.55,Income
2023-10-11,Groceries,Grocery shopping,107.38,Expense
2023-10-12,Groceries,Grocery shopping,159.39,Expense
2023-10-17,Groceries,Grocery shopping,22.39,Expense
2023-11-01,Salary,Monthly salary,2136.96,Income
2023-11-02,Utilities,"Electricity, water, internet bills",581.77,Expense
2023-11-04,Groceries,Grocery shopping,148.98,Expense
2023-11-09,Bonus,Extra income,181.25,Income
2023-11-19,Groceries,Grocery shopping,67.75,Expense
2023-11-28,Utilities,"Electricity, water, internet bills",964.67,Expense
2023-12-01,Salary,Monthly salary,2245.89,Income
2023-12-02,Entertainment,"Movies, concerts, etc.",245.01,Expense
2023-12-04,Entertainment,"Movies, concerts, etc.",453.39,Expense
2023-12-07,Entertainment,"Movies, concerts, etc.",299.75,Expense
2023-12-10,Groceries,Grocery shopping,182.83,Expense
2023-12-17,Bonus,Extra income,166.11,Income
2023-12-24,Entertainment,"Movies, concerts, etc.",23.68,Expense
2023-12-25,Groceries,Grocery shopping,30.52,Expense
2024-01-01,Salary,Monthly salary,2227.59,Income
2024-01-03,Utilities,"Electricity, water, internet bills",654.58,Expense
2024-01-04,Groceries,Grocery shopping,58.95,Expense
2024-01-08,Groceries,Grocery shopping,77.41,Expense
2024-01-10,Groceries,Grocery shopping,130.86,Expense
2024-01-13,Entertainment,"Movies, concerts, etc.",222.58,Expense
2024-01-19,Bonus,Extra income,733.77,Income
2024-01-25,Entertainment,"Movies, concerts, etc.",329.99,Expense
2024-01-30,Entertainment,"Movies, concerts, etc.",262.62,Expense
2024-01-31,Entertainment,"Movies, concerts, etc.",34.86,Expense
2024-02-01,Entertainment,"Movies, concerts, etc.",382.98,Expense
2024-02-01,Salary,Monthly salary,2164.49,Income
2024-02-10,Groceries,Grocery shopping,75.07,Expense
2024-02-16,Groceries,Grocery shopping,100.35,Expense
2024-03-01,Salary,Monthly salary,2215.55,Income
2024-03-01,Groceries,Grocery shopping,177.86,Expense
2024-03-02,Utilities,"Electricity, water, internet bills",503.0,Expense
2024-03-05,Bonus,Extra income,428.06,Income
2024-03-06,Entertainment,"Movies, concerts, etc.",498.95,Expense
2024-03-07,Utilities,"Electricity, water, internet bills",750.98,Expense
2024-03-11,Groceries,Grocery shopping,102.65,Expense
2024-03-14,Groceries,Grocery shopping,191.47,Expense
2024-03-15,Groceries,Grocery shopping,105.12,Expense
2024-03-16,Groceries,Grocery shopping,23.85,Expense
2024-03-18,Bonus,Extra income,778.92,Income
2024-03-29,Utilities,"Electricity, water, internet bills",535.57,Expense
2024-03-30,Groceries,Grocery shopping,62.47,Expense
2024-03-31,Entertainment,"Movies, concerts, etc.",138.48,Expense
2024-04-01,Salary,Monthly salary,2273.77,Income
2024-04-05,Groceries,Grocery shopping,140.53,Expense
2024-04-06,Utilities,"Electricity, water, internet bills",208.61,Expense
2024-04-10,Entertainment,"Movies, concerts, etc.",192.82,Expense
2024-04-13,Groceries,Grocery shopping,155.84,Expense
2024-04-22,Entertainment,"Movies, concerts, etc.",201.97,Expense
2024-04-23,Groceries,Grocery shopping,33.63,Expense
2024-04-25,Groceries,Grocery shopping,98.18,Expense
2024-04-28,Entertainment,"Movies, concerts, etc.",389.68,Expense
2024-04-29,Utilities,"Electricity, water, internet bills",328.64,Expense
2024-05-01,Salary,Monthly salary,2196.32,Income
2024-05-01,Entertainment,"Movies, concerts, etc.",163.9,Expense
2024-05-02,Utilities,"Electricity, water, internet bills",903.63,Expense
